客户ID,年龄,性别,城市,职业,资产总额(AUM),存款,理财,基金,保险,信托,月均交易次数,月均交易金额,客户等级,持有产品数,持有产品,近12月资产,是否高价值客户
C10165,49,男,广州,退休,6082407.1,1540458.4,1353367.44,1026757.21,187838.71,428786.64,29,168211.52,白金客户,6,存款|理财产品|基金|保险|信托|贵金属,"6247795.73,6305933.46,6379577.67,6567561.58,6675032.95,6807275.14,7030597.3,6885386.76,7270032.98,7405286.69,7605084.46,7713137.79",1
C10166,52,男,上海,公务员,946662.48,350447.1,60126.62,34136.65,107774.23,0.0,17,28897.85,银卡客户,5,存款|理财产品|基金|保险|国债,"826857.16,818233.52,766216.88,893325.83,898097.72,866284.35,885443.77,1005042.81,879008.94,1018082.59,1013612.16,1071240.52",0
C10167,40,男,成都,自由职业,5020689.1,1440370.51,454252.17,236352.11,228743.89,93402.3,6,151331.18,白金客户,6,存款|理财产品|基金|保险|信托|贵金属,"3207865.62,3455411.88,3315090.55,3566429.19,3369360.83,3328537.78,2835176.49,3191988.47,3010551.55,2887369.18,2985322.78,3094188.96",1
C10168,52,女,苏州,自由职业,880321.93,255590.48,64337.83,175746.55,14133.01,0.0,8,55985.55,银卡客户,4,存款|理财产品|基金|保险,"641671.35,676569.11,708846.75,698574.77,724107.51,770879.63,765034.1,869127.05,869207.12,898458.41,838471.48,910683.63",0
C10169,40,女,北京,白领,5276843.42,1012198.83,943568.62,141749.94,13386.93,959925.81,2,251959.78,白金客户,6,存款|理财产品|基金|保险|信托|国债,"3727528.29,4072381.07,3811109.07,4121136.54,3988681.61,3998783.05,4274024.26,4327172.91,4459658.72,5047390.01,4761457.58,4770933.93",1
C10170,45,男,上海,自由职业,2723570.74,918652.66,229987.0,47709.26,23133.56,65571.68,15,216643.93,金卡客户,5,存款|理财产品|基金|保险|信托,"2443191.02,2359802.6,2410410.03,2421675.33,2169963.44,2337144.34,2333115.75,2277595.97,2394189.17,2301729.31,2360227.91,2211708.67",0
C10171,59,女,成都,公务员,1068888.46,328803.33,102618.46,135226.33,26055.93,205172.23,3,138123.26,金卡客户,5,存款|理财产品|基金|保险|信托,"693465.33,707432.04,673927.3,662807.74,663139.1,632577.16,638273.65,609498.38,606289.62,584665.1,566959.99,569936.91",0
C10172,54,女,深圳,专业人士,525414.34,185709.83,105492.95,58857.64,38452.46,0.0,12,31642.53,银卡客户,4,存款|理财产品|基金|保险,"399172.26,503499.32,462169.41,487588.87,591783.41,534298.54,523307.05,595666.9,608582.49,651166.68,665105.57,762028.27",0
C10173,53,男,北京,专业人士,3409984.58,703841.17,795875.03,187950.24,84175.16,277117.33,3,476449.71,金卡客户,5,存款|理财产品|基金|保险|信托,"2240705.13,2066875.94,2436236.07,2364598.18,2716464.66,2625874.16,2962736.23,3154088.59,3271849.11,3352066.09,3455468.36,3583650.32",0
C10174,67,女,上海,高管,1316899.19,255339.57,92574.75,6469.76,173710.8,254322.16,2,14476.48,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"816298.96,910979.53,915272.22,924024.61,937261.95,1070817.5,1103428.96,1141409.85,1147961.05,1260041.98,1214367.12,1324906.07",0
C10175,44,女,北京,自由职业,4286722.04,515773.98,1035396.68,911070.68,185926.07,816414.85,12,72790.34,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"3688952.86,3531379.02,3597609.53,3621562.16,2831706.25,3945085.63,3057759.45,3219845.92,3169708.95,3667580.28,3017005.37,3436036.02",0
C10176,51,男,重庆,退休,792246.9,83202.85,228722.8,102668.36,8663.04,0.0,1,97063.78,银卡客户,4,存款|理财产品|基金|保险,"627899.29,663675.26,684969.38,680421.91,694868.67,734793.86,747223.19,780932.81,793781.43,830914.79,845335.39,897166.94",0
C10177,36,男,成都,高管,8201588.02,2897690.69,1460477.91,260626.97,525978.32,263861.97,10,886170.96,白金客户,6,存款|理财产品|基金|保险|信托|外汇,"7611014.71,8160910.73,8676952.33,8564259.28,7931133.76,9201526.71,10340542.26,10358683.88,10724326.76,11743406.7,11817134.67,11662082.2",1
C10178,22,女,深圳,专业人士,2621439.29,229080.63,187835.43,622120.74,119970.05,88530.88,1,39117.89,金卡客户,5,存款|理财产品|基金|保险|信托,"1888488.61,1757993.39,1884108.44,1973867.19,1795283.69,1947738.33,2181183.68,2321793.58,2066684.87,2268390.1,1889395.0,2302740.73",0
C10179,32,男,重庆,高管,3507216.8,567218.15,953168.59,111035.96,93916.14,345832.71,17,75304.79,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"2749194.42,2616532.05,2982450.28,2850247.29,3208965.37,3352897.06,3178329.54,3584945.45,3673272.92,3803081.32,4244407.28,4172207.85",0
C10180,32,男,北京,公务员,2239382.76,843390.78,428216.44,448898.77,156658.68,161981.76,4,182994.47,金卡客户,5,存款|理财产品|基金|保险|信托,"1875037.83,1879090.93,1940399.69,1957359.63,2006077.46,2008561.49,2050296.45,2073686.31,2127733.16,2119025.33,2215027.19,2248904.05",0
C10181,47,女,杭州,退休,549143.92,65453.35,52522.98,81478.74,17307.73,0.0,9,14435.04,银卡客户,5,存款|理财产品|基金|保险|外汇,"506945.06,495161.54,515210.42,509767.21,505884.82,508440.53,500442.3,499287.13,501668.83,511135.48,508614.07,502911.05",0
C10182,56,女,北京,自由职业,2081445.03,292432.71,210566.78,209320.73,15993.08,206693.91,5,123012.09,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"1523102.96,1584215.11,1602889.77,1566931.58,1555611.51,1610880.3,1585773.4,1605435.93,1674400.63,1668465.51,1657118.47,1621480.46",0
C10183,48,男,重庆,退休,7173592.6,2603229.11,1979465.16,170102.37,585500.74,1062422.72,10,831919.8,白金客户,6,存款|理财产品|基金|保险|信托|外汇,"6234630.82,6008977.0,6179902.22,6040395.94,6602168.69,6179777.11,6117079.0,5900506.54,5592967.27,5538311.92,5484657.47,5508005.08",1
C10184,50,男,广州,退休,2500020.23,431259.5,696285.05,41016.64,206031.1,295435.52,2,152599.48,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"2159996.46,2171888.39,2030755.83,2251821.53,2483027.75,2424007.44,2573652.98,2555786.81,2554413.17,2755954.28,2901853.27,2878063.03",0
C10185,41,女,广州,白领,964148.76,310714.57,110596.54,106810.17,54405.54,0.0,1,59225.41,银卡客户,4,存款|理财产品|基金|保险,"787134.33,798396.27,836046.18,882364.9,863316.01,893260.62,920069.09,994305.66,918454.15,1007175.9,1015925.18,1058731.42",0
C10186,35,男,南京,退休,2014780.33,459464.8,146952.76,375127.28,50843.96,76535.36,1,89949.5,金卡客户,5,存款|理财产品|基金|保险|信托,"1530630.16,1525075.07,1512674.99,1452487.27,1456510.47,1469339.17,1418356.69,1393423.28,1393052.94,1380424.44,1327460.8,1289114.98",0
C10187,47,男,上海,公务员,37583310.19,6572181.11,1852148.18,4732860.94,4680265.88,4991155.51,2,2156210.93,钻石客户,6,存款|理财产品|基金|保险|信托|国债,"24267795.9,27644882.56,28077477.42,24348477.28,28792000.78,27678228.61,28723974.73,26169875.73,29481934.44,29420703.15,32979422.41,34371735.51",1
C10188,18,男,重庆,白领,1544814.83,554363.63,94316.09,337295.3,13848.25,274544.27,2,126199.63,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1417087.55,1401123.27,1435194.12,1495173.77,1509603.88,1523982.22,1525099.32,1512611.1,1546737.25,1545355.04,1515972.08,1557869.48",0
C10189,58,女,南京,自由职业,2705085.92,868679.96,456194.96,373777.88,46558.03,68242.64,20,227591.61,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1656856.82,1734117.18,1737537.46,1711859.17,1662524.81,1789946.13,1775619.68,2061594.76,1959320.48,1983702.35,2125060.31,2010383.28",0
C10190,33,女,武汉,白领,2252495.16,762162.67,437560.56,545635.64,241228.02,416557.81,2,189085.44,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"1914519.46,1904693.31,1838779.81,1748078.84,1683211.44,1768764.02,1771467.1,1635374.12,1561499.23,1590117.68,1531484.9,1514080.42",0
C10191,54,男,深圳,企业主,8483311.55,2452622.48,133186.78,1660287.18,1075909.74,1355772.56,8,688735.17,白金客户,6,存款|理财产品|基金|保险|信托|贵金属,"8555296.72,8206177.87,8173222.31,8420018.84,8157333.28,8302122.27,8141964.19,7640612.77,7802088.33,7968027.62,7417087.18,7703710.17",1
C10192,44,男,杭州,退休,289870.88,29147.32,38442.64,24211.8,22689.54,0.0,6,33781.8,普通客户,5,存款|理财产品|基金|保险|国债,"261568.05,266754.1,282653.41,291909.16,315814.34,338328.73,337137.37,345824.11,384797.77,405716.25,399341.72,435921.12",0
C10193,48,男,广州,退休,1582574.02,449773.79,194800.8,186229.79,11667.14,60474.0,9,190972.22,金卡客户,5,存款|理财产品|基金|保险|信托,"1476077.33,1516641.08,1595113.08,1673543.44,1796511.36,1784095.52,1855198.11,1841579.7,1879493.56,1989020.97,2055379.37,2070527.69",0
C10194,42,女,武汉,高管,5854647.74,501430.34,1279522.61,292249.0,326049.07,587454.38,4,391624.98,白金客户,5,存款|理财产品|基金|保险|信托,"3991520.66,4471900.09,4322146.53,4118098.34,4460456.37,4754976.18,5329357.14,4713020.42,5492522.05,5448983.97,5797306.96,5786932.9",1
C10195,32,女,武汉,公务员,1426143.76,276257.66,384458.51,319547.73,146688.75,245005.95,12,31985.92,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"969916.84,990450.86,1027443.27,972819.76,975448.32,1018522.74,1061267.15,1066257.75,1047210.5,1110044.32,1069998.48,1110748.39",0
C10196,39,女,上海,企业主,1348292.71,472658.49,256357.61,85347.32,112305.2,142266.35,2,176648.48,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"1043869.13,1047481.33,966926.7,1037458.18,1094609.62,1073421.01,1097685.11,1097457.95,1022451.18,1081763.79,973897.94,1029148.83",0
C10197,65,男,深圳,白领,1745138.87,491279.58,472901.37,42994.49,60751.4,247425.79,15,218708.18,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"1341483.2,1398178.63,1309198.38,1344867.72,1304985.86,1316150.67,1259680.86,1307591.92,1303627.48,1328746.46,1310689.31,1247250.34",0
C10198,61,男,苏州,白领,2041550.44,155007.2,608075.06,208184.16,88012.02,227787.7,4,20823.75,金卡客户,5,存款|理财产品|基金|保险|信托,"2025485.0,2023100.12,2023031.2,2096532.17,2001099.5,2068023.78,2023400.4,1996996.05,2022217.91,2062711.93,2097852.68,2027445.04",0
C10199,26,男,南京,公务员,1140632.72,257893.34,108110.02,207948.82,149664.77,214146.79,1,139970.55,金卡客户,5,存款|理财产品|基金|保险|信托,"774998.95,822070.8,834670.8,845515.79,850783.15,831282.96,857564.6,829755.27,912376.3,875150.42,877215.72,939268.62",0
C10200,26,女,北京,企业主,1106735.53,240162.97,43455.24,65177.3,154805.29,190248.5,6,91687.85,金卡客户,5,存款|理财产品|基金|保险|信托,"1070419.5,993580.82,1053475.75,1025720.63,998594.54,1026305.47,947073.34,945609.93,917917.68,949627.66,965615.29,958158.94",0
C10201,47,男,广州,退休,4228549.72,1149579.07,91218.34,960943.83,607494.59,65722.17,5,357441.14,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"3547957.87,3565373.77,3997921.82,3969989.99,4012667.43,4378417.04,4724930.14,4742450.44,5217415.36,5194380.5,5466213.58,5662732.61",0
C10202,55,女,上海,专业人士,2399039.08,245397.19,367042.24,276238.88,324143.82,446223.85,6,325005.2,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1737797.69,1841668.17,1814478.11,1852972.74,1788322.0,1805781.04,1853551.98,1809263.98,1784466.95,1753506.88,1745146.05,1728586.31",0
C10203,36,男,苏州,退休,4901818.66,328237.94,309220.71,693470.83,452599.1,38780.74,6,325605.39,金卡客户,5,存款|理财产品|基金|保险|信托,"3287748.69,3483304.8,3472484.31,3653553.07,3517702.76,3252866.31,3346452.15,3364400.9,3215287.96,3076330.56,3041648.37,3130399.19",0
C10204,51,男,武汉,公务员,1767973.72,364857.19,3763.94,362168.63,95424.15,191211.88,24,254300.4,金卡客户,5,存款|理财产品|基金|保险|信托,"1544469.69,1504458.02,1546693.23,1508020.41,1579638.86,1533788.12,1486375.0,1520461.97,1506848.61,1464118.03,1573796.67,1549528.48",0
C10205,52,女,北京,高管,16803654.08,5795363.15,1528501.68,1804073.48,1186436.99,528883.53,7,241124.68,钻石客户,7,存款|理财产品|基金|保险|信托|外汇|国债,"10985858.03,11260793.26,12265489.08,11327150.76,12962934.52,13599638.54,13191824.82,13673678.51,14732806.03,15459219.51,16932542.26,16939781.45",1
C10206,32,男,重庆,高管,1588000.63,277489.86,356181.47,218624.23,194560.26,304766.59,11,125559.75,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"1090319.47,1130492.37,1158623.92,1174131.72,1159812.04,1185649.23,1176595.52,1325700.9,1310183.67,1314579.04,1407162.32,1371379.32",0
C10207,51,女,广州,白领,8909454.5,2089617.24,2485391.63,1077591.61,655445.09,213375.71,7,1090266.65,白金客户,6,存款|理财产品|基金|保险|信托|贵金属,"8484050.26,9018972.39,8781413.68,9189773.36,8684959.49,9441698.62,9362236.66,9197551.07,10906293.59,9540072.04,10250680.27,10014194.75",1
C10208,49,女,杭州,白领,537756.7,90054.48,123432.36,58180.85,39056.02,0.0,24,28704.7,银卡客户,6,存款|理财产品|基金|保险|贵金属|外汇,"496286.46,484800.34,465787.24,431634.73,461663.15,453357.67,435049.48,462192.53,420501.1,423116.69,433829.31,417758.91",0
C10209,24,女,武汉,企业主,10014388.83,930021.23,1604413.59,2201820.34,615920.64,965376.9,43,198930.78,钻石客户,7,存款|理财产品|基金|保险|信托|贵金属|外汇,"7120512.21,6719739.65,7566274.19,7568837.02,8103371.06,8041962.71,7825631.33,7585508.74,7955458.33,7923504.1,8454390.96,8501538.51",1
C10210,40,女,武汉,企业主,1161223.86,419872.11,94180.57,238852.21,90283.52,107252.14,15,130271.29,金卡客户,5,存款|理财产品|基金|保险|信托,"901410.81,889018.63,972408.32,969770.14,844717.34,925930.3,993188.72,886850.49,917509.33,903303.93,869967.86,805764.38",0
C10211,54,男,上海,公务员,5860310.96,760874.25,1621354.63,868158.45,333971.17,588299.72,15,555029.91,白金客户,5,存款|理财产品|基金|保险|信托,"3997465.79,3980785.35,4045879.54,4316503.75,4352864.19,4719078.73,4777580.63,4782639.4,5487196.41,5350806.98,5406565.33,5821965.2",1
C10212,46,男,成都,退休,298194.29,89501.77,83885.45,68007.28,42317.15,0.0,4,15601.15,普通客户,4,存款|理财产品|基金|保险,"189173.0,200740.44,208588.86,220424.44,225573.36,238218.77,236110.38,271069.86,278145.3,282762.19,316471.76,316671.42",0
C10213,29,男,北京,白领,1351386.83,451829.13,345980.33,308906.91,53775.42,244318.05,8,74181.39,金卡客户,7,存款|理财产品|基金|保险|信托|外汇|国债,"1219264.02,1178905.78,1216324.72,1160042.16,1208606.49,1231321.09,1285935.81,1307957.93,1309309.07,1312930.62,1327781.69,1379405.27",0
C10214,48,女,杭州,企业主,2823497.21,756393.13,176037.01,355810.12,230770.79,160096.35,5,70187.07,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1886577.4,1839578.83,1948958.69,1843511.08,1947152.64,2073439.42,1992605.14,1939710.33,2112641.9,2086127.77,2142772.87,2137048.12",0
C10215,74,女,上海,退休,15294147.18,1128762.83,889151.84,820396.48,1693407.94,578543.01,6,1380890.91,钻石客户,6,存款|理财产品|基金|保险|信托|贵金属,"12497448.66,13089620.21,12418859.91,12714542.55,12545470.23,13271754.13,12128636.07,12787905.01,12286940.31,12059645.59,13033230.0,13042069.13",1
C10216,40,男,杭州,高管,5300819.01,2092366.78,1504014.18,261205.86,696021.32,746878.65,50,683508.94,白金客户,5,存款|理财产品|基金|保险|信托,"3708274.12,4733957.1,4813439.58,4390104.07,4019209.27,3476929.95,4452874.38,3941447.47,4232177.04,3744632.57,4033708.76,4102137.28",1
C10217,49,女,广州,企业主,35597817.03,11875100.55,5730303.67,2475981.13,328966.47,1156917.77,2,4816553.39,钻石客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"29725149.06,31111751.74,32885272.42,31678246.41,31987771.38,31912054.43,36003651.42,35195580.15,40065195.64,36111980.33,36947678.78,38136820.22",1
C10218,48,男,南京,专业人士,1401490.02,274020.98,197264.27,128834.95,21152.68,86789.18,25,70174.57,金卡客户,5,存款|理财产品|基金|保险|信托,"879764.17,874488.3,908826.53,975202.48,990600.91,1023976.56,1123686.84,1155008.71,1231005.59,1261277.44,1271152.46,1355502.85",0
C10219,29,男,上海,退休,268961.6,34648.3,20744.69,32238.74,14817.54,0.0,39,37098.96,普通客户,4,存款|理财产品|基金|保险,"265004.8,250702.6,231122.35,275323.2,305945.62,284718.08,265970.63,290961.64,305169.67,300851.8,289385.31,330505.2",0
C10220,33,女,成都,白领,17419353.03,1537685.83,2076167.19,1466917.26,1488002.21,3000008.08,4,1805088.39,钻石客户,6,存款|理财产品|基金|保险|信托|国债,"11776856.41,10054117.74,11045743.4,12596952.47,12387071.66,13497665.55,13061025.84,12116070.69,12509631.51,13538492.34,11701003.49,15413637.18",1
C10221,51,男,成都,退休,30783291.49,4334509.39,781730.18,917893.66,1037007.74,3079547.77,14,3929856.1,钻石客户,7,存款|理财产品|基金|保险|信托|贵金属|国债,"23526420.62,23273598.47,24194790.09,23698404.92,24310880.15,24416958.21,25489500.28,24185917.37,26122245.94,24770319.02,24550213.3,25358512.56",1
C10222,80,女,南京,白领,4644074.81,416506.09,1003978.79,580863.64,622839.77,854389.89,6,399028.18,金卡客户,7,存款|理财产品|基金|保险|信托|贵金属|国债,"3029279.91,3208278.64,3319466.84,3110000.26,3665712.7,3803663.65,3577266.73,3872382.11,3544581.22,3577582.3,3810418.06,3962255.2",0
C10223,39,女,重庆,企业主,12265722.98,3104209.0,3326592.81,981813.38,1233172.44,460954.67,2,1195556.65,钻石客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"8136877.47,8098439.16,9317779.88,9088735.49,9734381.52,10312380.87,10674311.25,11410607.8,11696545.12,11777286.03,13243410.88,13167545.38",1
C10224,42,女,武汉,公务员,7415735.13,1936454.21,724327.03,1823524.26,742334.92,65031.33,21,132642.72,白金客户,6,存款|理财产品|基金|保险|信托|贵金属,"5563070.54,5759019.21,5974057.5,5645563.77,5585865.03,5614939.39,5713178.15,5757886.55,5766019.92,5769173.52,5777560.8,5613940.36",1
C10225,75,女,北京,退休,1589974.7,278451.74,132330.45,255509.75,165230.46,276963.29,34,92102.1,金卡客户,5,存款|理财产品|基金|保险|信托,"1292877.54,1357610.97,1308113.83,1508877.34,1387192.21,1380046.83,1366122.92,1514949.2,1523416.84,1458447.47,1552517.13,1441449.79",0
C10226,47,男,南京,专业人士,4209584.29,618979.15,1258686.68,790128.69,407100.46,299124.34,34,358795.86,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"2939049.04,2952043.74,3025503.11,3026785.61,3072860.43,3111672.15,3139919.45,3195486.03,3194889.36,3309024.61,3385078.27,3341211.67",0
C10227,48,男,南京,企业主,1646573.94,255928.56,228902.27,246751.68,42302.15,244232.3,10,86230.5,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1047595.25,1108716.73,1106975.36,1068037.93,1108971.97,1103205.64,1164648.38,1185167.65,1116945.66,1194694.8,1157823.43,1186077.75",0
C10228,45,女,上海,专业人士,21259368.3,3549790.85,164180.21,1812615.58,2561662.17,3815199.84,1,304337.35,钻石客户,6,存款|理财产品|基金|保险|信托|外汇,"18380977.07,17062785.5,16579441.69,15249283.65,17509137.41,19642116.88,16202561.04,16410578.56,16355560.45,18439990.22,18160087.55,17462332.95",1
C10229,31,男,杭州,专业人士,196475.36,36033.86,24275.65,35737.85,13310.39,0.0,17,25530.44,普通客户,4,存款|理财产品|基金|保险,"127003.2,123322.32,123097.6,117217.42,130159.03,125939.84,125640.73,118721.32,111053.76,128315.54,117774.98,113713.27",0
C10230,51,女,深圳,企业主,15501508.69,2420201.59,3245971.61,3062555.19,687692.27,1536676.71,1,657090.66,钻石客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"9630716.72,10012152.8,9503003.5,11230711.02,10797584.35,8889478.69,10262304.71,8956261.53,9078590.73,8795040.17,8285536.76,9050857.5",1
C10231,46,男,重庆,高管,741958.39,76179.41,112088.41,148696.36,49139.98,0.0,2,58381.66,银卡客户,4,存款|理财产品|基金|保险,"502602.87,520525.02,554334.17,623852.81,642279.59,640068.39,694307.41,633233.22,745481.61,725658.77,833188.57,791762.86",0
C10232,32,男,苏州,专业人士,4015953.57,1400247.65,1040322.47,775603.72,101704.19,660063.3,12,229745.82,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"3553591.48,3568447.81,3189339.17,3256324.16,3371281.55,3642259.25,3566738.25,3449573.8,3535039.93,3421306.52,3546663.49,3555224.41",0
C10233,59,女,重庆,高管,2240868.71,581297.31,20820.32,154001.27,11025.03,188383.28,5,303220.92,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"2161556.9,2199597.52,2267824.36,2308191.31,2272477.13,2308596.22,2327309.48,2443479.85,2515986.73,2476564.76,2520055.25,2637379.8",0
C10234,52,女,上海,专业人士,4263898.12,683052.62,149412.24,291181.2,134005.29,388295.08,19,99799.04,金卡客户,5,存款|理财产品|基金|保险|信托,"4102753.3,4308291.82,3656228.74,3981408.22,3573221.99,3776355.26,4151351.28,3611268.9,4284636.79,3779278.47,3992815.11,3856270.48",0
C10235,51,男,上海,公务员,1351430.12,315630.18,326815.03,119425.03,130185.22,66390.78,13,34190.0,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1181029.93,1267216.91,1269671.59,1273001.83,1298060.56,1307934.68,1262949.48,1438060.5,1200770.61,1250974.66,1604754.96,1230722.22",0
C10236,24,女,上海,自由职业,3829437.73,211383.6,552732.26,319152.84,257983.52,437064.89,1,431122.99,金卡客户,5,存款|理财产品|基金|保险|信托,"3057500.36,3069573.37,3351041.54,3396200.77,3457572.25,3620985.35,3581107.4,3782274.62,3831085.63,4138027.66,3815705.0,4063088.64",0
C10237,51,女,北京,高管,80881077.89,32020150.68,9435218.45,958756.94,9719942.21,9776592.8,1,3056981.24,钻石客户,8,存款|理财产品|基金|保险|信托|贵金属|外汇|国债,"59785775.0,73516182.14,69788770.56,60284489.16,61667367.44,62481542.41,55952757.98,66630273.03,60957961.13,66991138.18,59053376.58,70337756.3",1
C10238,56,女,苏州,专业人士,1099376.58,317182.47,20954.91,108906.26,158939.78,118508.59,3,119275.73,金卡客户,5,存款|理财产品|基金|保险|信托,"651237.97,613549.37,630108.78,736862.13,679634.37,646171.44,699878.29,634719.24,750991.63,744463.74,654616.5,647390.14",0
C10239,18,男,广州,企业主,1336570.59,448568.76,321803.73,162524.19,59835.06,170571.19,46,67284.7,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"839084.4,827817.96,779868.13,809567.14,783128.23,789688.16,738085.0,731756.78,701589.64,696238.45,679161.35,703943.32",0
C10240,34,男,深圳,自由职业,2444903.92,445065.9,487079.23,155915.94,46587.73,28623.27,3,84010.47,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"1794188.1,1763332.99,1801375.22,1980279.14,1989356.05,1958756.15,2083652.86,1859007.61,2146499.55,2131744.89,2052349.19,2045761.43",0
C10241,46,男,武汉,退休,2760376.28,816956.56,656447.9,434150.31,63209.1,392069.09,2,289364.33,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"2526428.59,2351944.04,2528152.42,2420985.46,2198540.6,2512859.19,2517051.48,2423421.03,2209903.82,2254732.51,2299107.41,2183529.03",0
C10242,70,男,深圳,专业人士,1886149.89,111766.48,189873.35,460230.08,247148.51,124251.28,22,135384.83,金卡客户,7,存款|理财产品|基金|保险|信托|贵金属|外汇,"1870984.52,1932330.67,1952471.81,2037480.3,2115005.47,2138208.89,2207479.34,2281981.09,2348572.53,2424246.28,2439927.26,2523866.27",0
C10243,37,男,深圳,退休,268590.69,16171.77,48757.4,26573.34,12033.08,0.0,6,35285.23,普通客户,4,存款|理财产品|基金|保险,"172160.17,179842.69,184837.69,191284.93,203361.73,200854.29,212899.33,215709.11,225864.78,224661.76,235586.91,239038.02",0
C10244,18,女,重庆,退休,428927.91,48438.5,60190.37,103808.33,48446.52,0.0,50,54132.66,银卡客户,5,存款|理财产品|基金|保险|贵金属,"287142.37,286208.1,292886.02,296385.98,290249.38,291276.95,290731.54,304811.3,271689.6,294375.19,311082.18,302839.98",0
C10245,64,男,上海,公务员,9254287.9,2343722.44,1077568.58,395066.21,314882.38,1065170.42,3,641150.32,白金客户,6,存款|理财产品|基金|保险|信托|外汇,"8395302.52,8764120.69,8370193.51,8736373.74,8904535.23,8996306.79,8133162.01,9440055.94,8870685.84,8556564.1,8961920.52,9438703.21",1
C10246,23,男,上海,退休,1210496.64,221503.92,162866.96,296767.84,63600.53,109473.19,10,141021.25,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"860014.21,809366.74,799289.52,785049.17,768887.65,748709.71,747036.59,725547.94,691025.56,703354.04,687446.45,650808.43",0
C10247,36,男,成都,公务员,4206504.76,1042267.97,1083602.43,123540.73,495736.55,566630.31,2,109796.22,金卡客户,5,存款|理财产品|基金|保险|信托,"2750881.91,2861579.05,2986551.91,2910592.73,3136611.02,2850368.27,3130185.4,3189552.24,3238198.47,3427718.63,3574909.86,3695457.67",0
C10248,48,女,苏州,企业主,2074875.33,777511.84,580218.5,373781.75,238329.51,37963.15,1,73389.43,金卡客户,6,存款|理财产品|基金|保险|信托|外汇,"2036816.06,2012308.25,2018452.26,1899819.91,1820939.92,1675374.56,1830079.37,2002030.47,1801807.14,1862284.79,1960829.04,1956253.14",0
C10249,28,女,南京,专业人士,1439925.42,498455.89,195393.62,152772.13,33859.04,122798.58,16,122736.9,金卡客户,6,存款|理财产品|基金|保险|信托|贵金属,"1259393.78,1254654.41,1337244.08,1485077.03,1306256.39,1379718.48,1444585.96,1579665.59,1544108.85,1651691.92,1694551.82,1692769.85",0
C10250,29,男,武汉,专业人士,11642457.96,2163663.61,334220.45,2662002.71,158982.97,1509349.62,1,1224056.1,钻石客户,6,存款|理财产品|基金|保险|信托|贵金属,"9595475.56,11395900.25,10930372.81,12899912.82,9685382.34,9061743.89,10018019.66,9007114.45,8984140.27,9289981.93,9271176.59,9164949.51",1
C10251,52,男,北京,专业人士,4144984.2,528628.5,576419.54,487371.44,543143.38,632358.0,9,339187.42,金卡客户,6,存款|理财产品|基金|保险|信托|国债,"3488783.21,3774646.23,3492093.58,3164956.82,3555282.15,4256999.89,4213681.23,4333835.61,4403132.25,4396741.37,5157283.11,4879611.33",0
C10252,55,女,深圳,自由职业,536932.57,213488.31,17089.28,31283.46,76543.48,0.0,24,6902.93,银卡客户,4,存款|理财产品|基金|保险,"383231.89,358279.2,389559.17,427989.97,440012.0,489189.96,432374.56,490547.17,486163.29,455492.11,493220.72,525156.84",0
C10253,19,男,深圳,企业主,955234.4,185760.05,65274.51,139430.38,53225.18,0.0,14,69586.57,银卡客户,5,存款|理财产品|基金|保险|国债,"909460.66,899760.76,998872.91,1002905.15,917162.12,977333.41,994044.27,956484.27,934881.85,997522.24,1002189.17,1003346.16",0
C10254,51,男,北京,企业主,2768421.61,309144.22,503478.98,233185.48,243130.79,174772.46,6,100571.77,金卡客户,5,存款|理财产品|基金|保险|信托,"1663832.16,1709832.12,1771324.58,1979760.82,1699286.76,1717323.74,1779040.37,1878221.65,1754590.81,1939095.41,2117360.21,2014186.62",0
